requirement_id,level,domain,requirement,acceptable_evidence,score,evidence,notes
GOV-1,L1,Governance,Every detection traces upward to a recorded business driver,Detection metadata file showing populated traceability.driver_type,,,
GOV-2,L1,Governance,Every detection traces downward to its telemetry sources,Detection metadata file showing populated logsources,,,
GOV-5,L1,Governance,Every detection has a named accountable owning team,Detection metadata owner field; team is not an individual,,,
GOV-9,L1,Governance,Detection metadata conforms to the schema,Passing run of def_validate.py,,,
GOV-10,L1,Governance,Use case requests conform to the schema,Passing run of def_validate.py,,,
PLN-1,L1,Planning,Requests scored with an anchored rubric with written descriptors,Published rubric document; scored request records,,,
PLN-6,L1,Planning,Requests state explicit non-goals,Use case record with populated out_of_scope,,,
PLN-7,L1,Planning,Requests state measurable success criteria,Use case record with populated success_criteria,,,
TEL-1,L1,Telemetry,Detections declare required and optional log sources,Detection metadata logsources with required flag,,,
FEA-1,L1,Feasibility,Telemetry confirmed present before logic is written,Feasibility record predating first commit of the logic,,,
DET-1,L1,Detection,Every detection records a hypothesis,Detection metadata val.hypothesis,,,
DET-4,L1,Detection,Severity confidence and robustness tier declared,Detection metadata classification block,,,
DET-6,L1,Detection,Known benign causes documented with triage guidance,Detection metadata false_positives entries,,,
RSP-1,L1,Response,No production detection without a linked playbook,Playbook file referenced by every production detection,,,
DAC-1,L1,DetectionAsCode,Detection logic and metadata are version-controlled,Repository URL and commit history,,,
DEL-5,L1,Delivery,Catalog generated from version-controlled metadata,Catalog build output or generation script,,,
IMP-1,L1,Improvement,Backlog items record which trigger created them,Backlog item showing trigger field,,,
IMP-5,L1,Improvement,Exceptions carry justification owner and expiry,Detection metadata exceptions entries,,,
IMP-8,L1,Improvement,Every detection carries review cadence and last reviewed date,Detection metadata lifecycle block,,,
MET-1,L1,Metrics,Precision reported per detection; classical FPR not used,Metrics report showing precision; absence of FPR,,,
MET-5,L1,Metrics,False negatives reported as enumerated gaps not a count,Gap register with owners and dates,,,
GOV-3,L2,Governance,Traceability is machine-readable,Query or script returning traceability without manual research,,,
GOV-4,L2,Governance,Traceability answerable in both directions,Two worked queries: driver to detections and detection to drivers,,,
GOV-6,L2,Governance,Detection council operating with required representation,Terms of reference and three most recent minutes,,,
GOV-8,L2,Governance,RACI documented for the full lifecycle,RACI document with one accountable party per activity,,,
GOV-11,L2,Governance,Metadata version-controlled alongside logic,Repository showing metadata and logic in the same change,,,
GOV-12,L2,Governance,Expedited path defined with named invocation authority,Documented process naming who may invoke,,,
GOV-13,L2,Governance,Minimum Viable Detection defined,Documented MVD criteria,,,
GOV-14,L2,Governance,Expedited detections carry a review date within 30 days,Expedited detection records showing review dates,,,
GOV-16,L2,Governance,Service levels published to consuming teams,Published SLA document,,,
PLN-2,L2,Planning,Scores recorded in the request record,Use case records with populated priority block,,,
PLN-3,L2,Planning,Confirmed active threats route to the expedited path,Example request routed expedited with rationale,,,
PLN-4,L2,Planning,Compliance requests scheduled against their deadline,Compliance request with deadline and schedule,,,
PLN-8,L2,Planning,No development before feasibility records telemetry availability,Feasibility record predating development for a sample,,,
TEL-2,L2,Telemetry,Required log sources declare an expected arrival interval,Detection metadata expected_interval_minutes,,,
TEL-3,L2,Telemetry,Log source inventory maintained,Inventory with owner retention interval and gaps,,,
TEL-5,L2,Telemetry,Source loss raises an alert and identifies affected detections,Alert definition and a worked impact query,,,
FEA-2,L2,Feasibility,Feasibility records availability retention interval and gaps,Completed feasibility assessment,,,
FEA-5,L2,Feasibility,Feasibility output available to the approving reviewer,Pull request referencing the feasibility record,,,
DET-2,L2,Detection,Every detection records a VAL,Detection metadata val block,,,
DET-5,L2,Detection,Alert disposition declared,Detection metadata classification.alert_disposition,,,
DET-8,L2,Detection,Exceptions expressed in version-controlled logic,Rule file containing the exclusion; absence of console-only exceptions,,,
DET-9,L2,Detection,Positive and negative fixtures exist before production,Fixture files and a passing test run,,,
RSP-2,L2,Response,Playbook covers the required stages,Playbook document,,,
RSP-3,L2,Response,Playbook states pre-authorised containment actions,Playbook containment section,,,
RSP-6,L2,Response,Playbooks reviewed on the detection review cadence,Playbook review dates,,,
DAC-2,L2,DetectionAsCode,Changes made through pull requests with branch protection,Branch protection settings screenshot or API output,,,
DAC-3,L2,DetectionAsCode,At least one non-author reviewer approves,Merged pull requests showing approvals,,,
DAC-4,L2,DetectionAsCode,Automated validation gates merge,CI configuration and a blocked pull request example,,,
DEL-1,L2,Delivery,Recorded handover pack before activation,Handover record for a recent detection,,,
DEL-2,L2,Delivery,Alert volume forecast produced before activation,Forecast output for a recent detection,,,
DEL-4,L2,Delivery,Rollback procedure defined and author-independent,Documented procedure and evidence of execution,,,
DEL-6,L2,Delivery,Consuming team given a recorded review period,Handover record showing review window,,,
DEL-7,L2,Delivery,Activation date and notification behaviour recorded,Activation record,,,
IMP-2,L2,Improvement,Alerts cannot be closed without a disposition,Case management configuration showing the mandatory field,,,
IMP-3,L2,Improvement,Adverse dispositions auto-create backlog items,Automation configuration and a generated item,,,
IMP-4,L2,Improvement,Improvements classified before work begins,Backlog items showing change class,,,
IMP-6,L2,Improvement,Expired exceptions reviewed not silently renewed,Validator output and review records,,,
IMP-11,L2,Improvement,Reviews cover all seven required dimensions,A completed review record,,,
IMP-13,L2,Improvement,Improvements pass the validation suite before deployment,CI run on an improvement pull request,,,
IMP-14,L2,Improvement,Improvements deployed through the controlled path,Deployment record for an improvement,,,
IMP-16,L2,Improvement,A deprecation path exists and is used,At least one deprecated detection in the last year,,,
IMP-18,L2,Improvement,Decommissioning follows the recorded sequence,Decommissioning record,,,
IMP-19,L2,Improvement,Retired detections retained in version control,Repository showing a retired detection with history,,,
